dr_mm,fov_mm,n_rings,n_crystals_phi,n_crystals_total,n_modules_total,n_sipm_arrays,n_channels_total,v_lyso_mm3,cost_lyso_chf,cost_sipm_chf,cost_total_chf,sipm_price_per_array_chf
25,3,1,733,733,91,182,1466,170824.100538945,5466.37121724624,74438.0,79904.37121724624,409.0
25,6,2,733,1466,91,182,2932,341648.20107789,10932.74243449248,74438.0,85370.74243449248,409.0
25,12,4,733,2932,91,182,5864,683296.40215578,21865.48486898496,74438.0,96303.48486898496,409.0
25,24,8,733,5864,91,182,11728,1366592.80431156,43730.96973796992,74438.0,118168.96973796992,409.0
25,48,16,733,11728,182,364,23456,2733185.60862312,87461.93947593984,148876.0,236337.93947593984,409.0
25,96,32,733,23456,364,728,46912,5466371.21724624,174923.87895187968,167440.0,342363.8789518797,230.0
25,192,64,733,46912,728,1456,93824,10932742.43449248,349847.75790375937,291200.0,641047.7579037594,200.0
40,3,1,733,733,91,182,1466,278973.42763877363,9206.123112079531,74438.0,83644.12311207953,409.0
40,6,2,733,1466,91,182,2932,557946.8552775473,18412.246224159062,74438.0,92850.24622415905,409.0
40,12,4,733,2932,91,182,5864,1115893.7105550945,36824.492448318124,74438.0,111262.49244831812,409.0
40,24,8,733,5864,91,182,11728,2231787.421110189,73648.98489663625,74438.0,148086.98489663625,409.0
40,48,16,733,11728,182,364,23456,4463574.842220378,147297.9697932725,148876.0,296173.9697932725,409.0
40,96,32,733,23456,364,728,46912,8927149.684440756,294595.939586545,167440.0,462035.939586545,230.0
40,192,64,733,46912,728,1456,93824,17854299.368881512,589191.87917309,291200.0,880391.87917309,200.0
