source_type,dr_mm,fov_mm,eps_pair_511,eps_gamma_1157,eps_triple_raw,eps_triple_useful
center,25,3,0.0016262916855780424,0.0013807781889257514,2.245548088277457e-06,1.180354848113163e-06
center,25,6,0.0032525118668844037,0.0027614947683336924,8.981794504344531e-06,4.721210266350483e-06
center,25,12,0.0065044517953546785,0.005522496747835784,3.592081388630084e-05,1.8881495809510812e-05
center,25,24,0.013004331145226762,0.011041053976559972,0.00014358152210350864,7.547250784744865e-05
center,25,48,0.025972180392711985,0.022050680824564108,0.000572704260157694,0.0003010375300093201
center,25,96,0.05165559147128028,0.04385275493260879,0.002265239993689011,0.001190705744690463
center,25,192,0.10109499217102907,0.08580193840367853,0.008674146291179,0.004559497381278472
center,40,3,0.001984432093475715,0.001733021882226763,3.439064241786479e-06,1.8077173105115556e-06
center,40,6,0.0039687642028087946,0.0034659607272569414,1.3755580862678486e-05,7.230513853003285e-06
center,40,12,0.007936728681791148,0.006931257279137228,5.501150844820211e-05,2.891637059024787e-05
center,40,24,0.015867064346867223,0.01385720506209233,0.00021987316438795321,0.0001155746149058804
center,40,48,0.03168313679544165,0.02767205873691545,0.0008767376223731885,0.0004608502968579199
center,40,96,0.06296314317908366,0.0550092379745328,0.0034635545267627946,0.001820590437902758
center,40,192,0.12284692765436965,0.10745860762132749,0.013200959796296513,0.006938981612840113
offcenter,25,3,0.00278690841065925,0.003401762876395215,9.480401571294227e-06,7.773742749441893e-06
offcenter,25,6,0.00580235438642991,0.007107512153184882,4.124030431863619e-05,1.9643598759651874e-05
offcenter,25,12,0.011258011536451215,0.014456776024300571,0.00016275455126146717,7.777975370235235e-05
offcenter,25,24,0.022516232235625096,0.028775874824473396,0.0006479242803311205,0.00032878991635229874
offcenter,25,48,0.0444966015679265,0.05674355491508496,0.002524895354604293,0.0013648666489843792
offcenter,25,96,0.08914104312928554,0.11233822648716042,0.010013946692359416,0.00525529321524143
offcenter,25,192,0.17540794627332726,0.2146875211200483,0.03765789717017924,0.019772950788988657
offcenter,40,3,0.0034591169531191625,0.004429534552430313,1.5322278064738796e-05,9.001887247337622e-06
offcenter,40,6,0.006695579318749089,0.008608514925007358,5.7638994497022134e-05,3.2849708720408515e-05
offcenter,40,12,0.013268169096598045,0.017528933367275963,0.00023257685200001724,0.0001229641825584437
offcenter,40,24,0.026457171460902134,0.0352750347649826,0.0009332776430664283,0.0004970324879942097
offcenter,40,48,0.0526680569383932,0.07043616298201688,0.0037097358424588085,0.0019284779925336246
offcenter,40,96,0.10574512971351635,0.13914084215011555,0.014713466401611872,0.0077438108573978474
offcenter,40,192,0.20757968034110452,0.2642650303246003,0.054856050520112824,0.02883290065175627
