dr_mm,fov_mm,eps_triple_useful,eps_triple_no_water_atten
25,3,0.0,0.0
25,6,0.0,0.0
25,12,3.337325700288111e-08,4.3899347121902973e-07
25,24,2.6672408083332973e-07,3.5094974989608827e-06
25,48,2.178889048211798e-06,2.870213730222903e-05
25,96,1.7135139029238244e-05,0.00022673309413764355
25,192,0.00012957651922283325,0.0017440850057704731
40,3,0.0,0.0
40,6,0.0,0.0
40,12,5.111035902058803e-08,6.723081255489699e-07
40,24,4.0845530903780924e-07,5.374366065536065e-06
40,48,3.3358317933267933e-06,4.3942343675233204e-05
40,96,2.620696747510861e-05,0.00034677028725578035
40,192,0.00019743326702180514,0.0026572368589784933
